"id","venue","race_number","horse_name","horse_number","barrier","jockey","trainer","odds_open","odds_flag","odds_fixed_close","odds_tote","odds_place","move_percent","scratchings","result","created_at","updated_at"
2620,"Kembla Grange",2,"One For Bede",8,8,"J Grisedale","Paul Murray",6.50,4.60,4.80,0.00,1.30,6.35,1,4,"2017-09-09 06:00:07","2017-09-09 06:00:07"
2656,"Gold Coast",2,"Killerman's Run",3,3,"Shannon Doyle","Glenn Stockdale",4.20,3.30,2.60,0.00,1.30,6.49,2,3,"2017-09-09 06:05:05","2017-09-09 06:05:05"
2692,"Morphettville",1,"Cobber",1,6,"S Price","Ryan Balfour",10.00,5.50,9.50,0.00,1.90,8.18,4,3,"2017-09-09 06:10:05","2017-09-09 06:10:05"
2727,"Rosehill",3,"Mapmaker",13,8,"A Hyeronimus","T R Martin",16.00,7.50,8.00,0.00,2.40,7.08,2,3,"2017-09-09 06:15:05","2017-09-09 06:15:05"
2796,"Griffith",1,"Darryl 'N' Fred",3,7,"M Travers","J W Marzol",31.00,10.00,15.00,0.00,4.00,6.77,4,NULL,"2017-09-09 06:25:07","2017-09-09 06:25:07"
2831,"Doomben",4,"Mystic Opal",6,1,"Michael Cahill","Chris Anderson",4.20,3.20,3.60,0.00,1.85,7.44,0,3,"2017-09-09 06:30:06","2017-09-09 06:30:06"
2865,"Armidale",1,"Charming Charlie",1,2,"P Graham","Theresa Lennon",6.50,4.60,4.20,4.36,1.70,6.35,3,1,"2017-09-09 06:35:06","2017-09-09 06:35:06"
2899,"Kembla Grange",3,"Cedarwood",8,3,"G Buckley","C J Waller",15.00,7.50,5.50,5.09,2.00,6.67,2,1,"2017-09-09 06:40:06","2017-09-09 06:40:06"
2932,"Gold Coast",3,"I Like Candy",4,4,"P Timbery","Ms T Timbery",12.00,6.50,7.50,0.00,2.90,7.05,1,4,"2017-09-09 06:45:06","2017-09-09 06:45:06"
2997,"Kilmore",4,"Just A Gigolo",4,1,"B Egan","Patrick Payne",20.00,5.00,9.00,0.00,2.15,15.00,5,2,"2017-09-09 06:55:08","2017-09-09 06:55:08"
2998,"Dalby",2,"Who Am I",12,6,"K Yoshida","Joe Gleeson",8.50,5.50,6.00,0.00,1.80,6.42,0,2,"2017-09-09 06:55:08","2017-09-09 06:55:08"
3032,"Griffith",2,"Dublin Dan",5,4,"N Burrells","G C Grimmond",6.00,4.40,5.00,0.00,2.00,6.06,4,NULL,"2017-09-09 07:00:07","2017-09-09 07:00:07"
3100,"Armidale",2,"Time For Three",7,1,"B Hodder","Luke A Thomas",15.00,7.00,4.60,0.00,1.65,7.62,0,2,"2017-09-09 07:10:09","2017-09-09 07:10:09"
3135,"Kembla Grange",4,"Annatime",1,4,"R Dolan","Donna Grisedale",12.00,5.50,15.00,0.00,4.80,9.85,2,NULL,"2017-09-09 07:15:09","2017-09-09 07:15:09"
3169,"Gold Coast",4,"Malkara",5,2,"S Galloway","Michael Costa",4.80,3.70,3.50,0.00,1.80,6.19,2,3,"2017-09-09 07:20:08","2017-09-09 07:20:08"
3203,"Dalby",3,"Gully Gosh",6,1,"S Apthorpe","M A Kropp",18.00,3.80,3.40,0.00,1.75,20.76,1,NULL,"2017-09-09 07:25:09","2017-09-09 07:25:09"
3236,"Kilmore",5,"Dashing Declan",1,7,"T Hope","Lee & Shannon Hope",16.00,8.00,13.00,0.00,3.40,6.25,2,4,"2017-09-09 07:30:10","2017-09-09 07:30:10"
3237,"Rosehill",5,"Deploy",3,3,"J Parr","G A Ryan",6.00,3.40,2.80,3.10,1.60,12.75,1,1,"2017-09-09 07:30:11","2017-09-09 07:30:11"
3269,"Belmont",1,"Feisty Felix",11,4,"R Tan","S J Miller",9.50,6.00,10.00,0.00,3.00,6.14,0,NULL,"2017-09-09 07:35:09","2017-09-09 07:35:09"
3270,"Griffith",3,"Steve's Choice",7,7,"C Macfarlane","C D Widdison",8.50,4.40,3.00,0.00,1.35,10.96,1,3,"2017-09-09 07:35:10","2017-09-09 07:35:10"
3301,"Doomben",6,"Vassal",4,1,"J Byrne","C J Waller",8.00,5.00,3.20,0.00,1.40,7.50,0,2,"2017-09-09 07:40:09","2017-09-09 07:40:09"
3331,"Armidale",3,"I Am At The Kilda",2,4,"P Graham","Stirling Osland",11.00,6.00,4.60,0.00,1.50,7.58,1,NULL,"2017-09-09 07:45:08","2017-09-09 07:45:08"
3332,"Dalby",4,"Schemel",3,9,"Beau Appo","G J Banks",4.80,3.40,6.00,0.00,2.15,8.58,2,4,"2017-09-09 07:45:08","2017-09-09 07:45:08"
3360,"Kembla Grange",5,"Raise An Army",1,4,"R Kozaki","C J Waller",4.40,3.30,8.50,0.00,2.60,7.58,3,2,"2017-09-09 07:50:09","2017-09-09 07:50:09"
3387,"Dalby",4,"Wild Element",9,7,"H English","Cherie Vick",13.00,5.50,4.60,0.00,1.80,10.49,2,2,"2017-09-09 07:55:10","2017-09-09 07:55:10"
3388,"Gold Coast",5,"Tiarnan",6,12,"D Mclellan","David Joice",6.00,4.20,4.20,0.00,1.60,7.14,0,2,"2017-09-09 07:55:11","2017-09-09 07:55:11"
3413,"Morphettville",4,"Bring Me Roses",10,6,"D Thornton","Tony Mcevoy",5.00,3.70,8.00,0.00,2.10,7.03,2,2,"2017-09-09 08:00:10","2017-09-09 08:00:10"
3437,"Rosehill",6,"Omei Sword",2,11,"H Bowman","C J Waller",4.80,3.60,5.00,0.00,2.00,6.94,1,NULL,"2017-09-09 08:05:11","2017-09-09 08:05:11"
3482,"Griffith",4,"Only Leonnie",12,3,"K Rayner","R E Hogan",41.00,9.00,9.50,0.00,2.70,8.67,3,NULL,"2017-09-09 08:15:09","2017-09-09 08:15:09"
3504,"Doomben",7,"See Miracles",10,3,"J Guthmann-Chester(A","Chris Anderson",11.00,6.50,11.00,0.00,3.00,6.29,2,2,"2017-09-09 08:20:09","2017-09-09 08:20:09"
3525,"Armidale",4,"Balantes",8,5,"J Murphy","Melissa Dennett",8.50,4.80,5.00,4.99,2.30,9.07,2,1,"2017-09-09 08:25:10","2017-09-09 08:25:10"
3526,"Moonee Valley",6,"Sanadaat",8,4,"J Duffy","D & B Hayes & T Dabernig",6.00,3.60,3.00,0.00,1.45,11.11,3,4,"2017-09-09 08:25:11","2017-09-09 08:25:11"
3545,"Pioneer Park",1,"Just Too Hard",6,4,"F Bergstrand","Greg Connor",14.00,6.00,4.60,0.00,2.20,9.52,0,3,"2017-09-09 08:30:10","2017-09-09 08:30:10"
3563,"Gold Coast",6,"Lefkas Island",4,5,"M Mcguren","B & D Guy",9.50,6.00,6.00,0.00,2.60,6.14,2,4,"2017-09-09 08:35:09","2017-09-09 08:35:09"
3598,"Kilmore",7,"Haukland Beach",3,9,"D Stackhouse","R K Challis",9.50,4.80,5.50,0.00,2.10,10.31,2,NULL,"2017-09-09 08:45:12","2017-09-09 08:45:12"
3631,"Griffith",5,"Victorian Crown",6,2,"C Quilty","R W Green",51.00,10.00,26.00,0.00,5.50,8.04,0,NULL,"2017-09-09 08:55:08","2017-09-09 08:55:08"
3677,"Pioneer Park",2,"Eighteen Bombers",1,6,"L Miller","K N Rogerson",7.50,5.00,6.00,0.00,2.60,6.67,0,3,"2017-09-09 09:10:11","2017-09-09 09:10:11"
3693,"Gold Coast",7,"Sugarparma",4,2,"D Mclellan","A J Edmonds",5.00,3.80,3.00,0.00,1.25,6.32,1,3,"2017-09-09 09:15:11","2017-09-09 09:15:11"
